native-country,,educational-num,,gender,
Cambodia,1,Preschool,1,Female,0
Canada,2,1st-4th,2,Male,1
China,3,5th-6th,3,,
Columbia,4,7th-8th,4,,
Cuba,5,9th,5,,
Dominican-Republic,6,10th,6,,
Ecuador,7,11th,7,,
El-Salvador,8,12th,8,,
England,9,HS-grad,9,,
France,10,Some-college,10,,
Germany,11,Assoc-voc,11,,
Greece,12,Assoc-acdm,12,,
Guatemala,13,Bachelors,13,,
Haiti,14,Masters,14,,
Holand-Netherlands,15,Prof-school,15,,
Honduras,16,Doctorate,16,,
Hong,17,,,,
Hungary,18,,,,
India,19,,,,
Iran,20,,,,
Ireland,21,,,,
Italy,22,,,,
Jamaica,23,,,,
Japan,24,,,,
Laos,25,,,,
Mexico,26,,,,
Nicaragua,27,,,,
Outlying-US(Guam-USVI-etc),28,,,,
Peru,29,,,,
Philippines,30,,,,
Poland,31,,,,
Portugal,32,,,,
Puerto-Rico,33,,,,
Scotland,34,,,,
South,35,,,,
Taiwan,36,,,,
Thailand,37,,,,
Trinadad&Tobago,38,,,,
United-States,39,,,,
Vietnam,40,,,,
Yugoslavia,41,,,,
